구 분,용 어,설 명
1,1차보정,퇴직률산출식의 일부로서 5세 단위의 탈퇴율을 다시 5세 단위로 연령을 이동하면서 산출한 율
2,2차보정,퇴직률산출식의 일부로서 1차보정 탈퇴율을 다시 5세 단위로 연령을 이동하면서 산출한 율
3,5점이동,퇴직률산출식의 일부로서 5세 단위의 탈퇴율을 표시
4,가입기간,"퇴직연금 설정 이후 당해 사업장에서 근로를 제공한 기간, 당해 퇴직연금의 설정 전에 제공한 근로기간에 대해서도 가입기간으로 할 수 있음"
5,가입년도 방식,가입일자를 기준으로 1년 단위로 계산
6,가입연령,퇴직연금에 가입 할 수 있는 최소연령
7,가입연령방식(EAN),"연금 적립 방식 가운데 하나로, 연금 제도에 새로 가입하는 자를 표준으로 하여 그 사람의 가입 때부터 탈퇴 때까지 평준적인 보험료를 부과함으로써 수지의 균형을 취할 수 있도록 계산된 보험료를 표준보험료라 말하고, 가입자 전원에게 이것을 적용하는 방법을 말함"
8,가입자,퇴직연금에 가입하여 연금규약에 따라 퇴직급여 수급권을 취득한 근로자 또는 개인퇴직계좌(IRA)를 설정하여 그 계약에 따라 퇴직급여 수급권을 취득한 자
9,가입자 자격상실,"퇴직연금 가입자가 정년, 중도사망, 중도퇴직 등의 사유로 가입자로서의 자격을 상실하는 것을 말함"
10,가입자명부,퇴직연금에 가입한 사업장에 속해있는 근로자의 기본사항을 적은 명부
11,가치주,"실적이나 자산에 비해 기업가치가 상대적으로 낮게 평가되어 낮은 가격에 주식거래가 이루어지며, 현재 시점으로 발생하는 주당 순이익에 비해 상대적으로 낮은 가격에 거래되는 주식"
12,간접투자,투자자로부터 자금을 모아 자산에 운용하고 그 결과를 투자자에게 귀속시키는 형태의 투자 방식
13,간접투자기구,간접투자를 수행하기 위한 투자신탁과 투자회사 및 투자전문회사
14,간접투자펀드 (fund of fund),성격이 다른 여러 펀드에 분산투자 하여 투자위험 요소를 최소화 하면서 수익을 추구하는 펀드
15,강제기업연금제도,사용자가 퇴직연금을 설정하고 부담금납부가 강제적인 연금제도로서 근로자의 가입이 의무화되는 것이 일반적임
16,강제부담금,가입자(혹은 가입자를 대신하는 법인)가 규약에 따라 납부해야할 부담금
17,개별적립방식,확정급여형퇴직연금의 재정방식 중 하나로 평가일 또는 가입일 현재 퇴직연금 가입자 개개인별로 부담금을 산정한 후 가입자 전체에 대해 합산하여 산출하는 적립방식
18,개인연금 (individual annuity) ,개인이 은행이나 생명보험회사 등의 금융기관과 계약해서 부금을 적립하여 그 적립금과 이자를 연금의 형식으로 받는 것 
19,개인연금제도,사용자의 간섭없이 개인에 의해 설립되고 관리되는 연금제도. 개인이 자산구성을 위해 독립적으로 자산을 선택 및 구매. 그럼에도 불구하고 사용자가 부담금을 갹출할 수도 있음. 경우에 따라 가입자격에 제한을 둘 수도 있음
20,개인퇴직계좌 (IRA),퇴직급여제도의 일시금을 수령한 자 등이 그 수령액을 적립 운용하기 위하여 퇴직연금사업자에게 설정한 저축계정
21,갹출,사업주 및 가입자가 운용상품구입을 위해 부금을 납부하는 것
22,거치연금,연금급여지급 요건을 충족하였으나 급여의 일정 부분이 그 이후에 지급되는 연금
23,거치연금이자율,연금자산을 일정기간 동안 거치 후 지급하는 연금제도에서 퇴직 시부터 연금지급 직전까지의 기간 동안 부리해주는 이자율
24,결정퇴직률,산출식의 일부로서 2차보정 탈퇴율에 퇴직안전율을 감안한 율로 실제 부담금 산출에 이용되는 율
25,경험승급률(Experienced salary scale),"예정승급률의 종류로서 단체로부터 받은 근로자 데이터의 생년월일, 입사일, 기준급여 등을 활용, 연령별 인원 및 기준급여를 집계하여 연령별 기준급여를 추정한 후, 기준연령의 추정급여로 나누어 산출한 연령별 급여지수. 계산시점 현재의 종업원의 급여를 기초로 통계적방법(최소제곱법)/5점이동 평균법을 사용하여 신입사원이 입사하여 정년까지 근무하면서 진급 또는 근무년수의 증가에 따른 급여의 인상을 감안한 승급률(급여지수)을 산출하여 적용. 자료의 축적인 가능한 근로자 300인 이상기업에 적용."
26,경험퇴직률,예정 퇴직률의 하나로 장래급부 및 부담금을 계산하기 위해 근로자가 매년 어떤 비율로 퇴직할 것인가를 예측하는 기초 비율을 의미. 기업의 과거경험치를 가지고 계산하는 방식으로 퇴직연금의 제도가입자가 퇴직하는 정도를 나타내는 율로 백분율(%)로 표시되며 과거3년간의 퇴직자 실적을 가지고 퇴직연금 계리기법을 적용하여 산출. 근로자 300인 이상 기업에 적용됨
27,계리적 손익,"보험수리상의 가정에 근거하여 계산된 퇴직급여의 추정치와 실제 퇴직급여액의 차액 , 그리고 종전의 가정에 근거한 추정치와 변경후의 가정에 근거한 추정치와의 차액을 합계한 금액"
28,계리적 현재가치,이자율 할인을 통한 화폐의 시간가치 뿐만 아니라 사망ㆍ퇴직 등에 의한 특정일과 예상지급일간의 지급확률을 반영한 미래에 지급하거나 받아야 할 금액의 현재가치
29,계산기초율,"장래의 퇴직급여 및 부담금을 전망하거나 현가를 계산하는데 기초가 되는 비율. 부담금 산출이율, 예정사망률, 예정승급률 등이 있음"
30,계속근로기간,"휴직, 퇴직 등을 하지 않고 기업에 계속적으로 근무하여 기업이 부담금을 납입하고 있는 기간"
31,계속기준부채,연금계리방식에 의해 산출한 책임준비금
32,계약 응당일,"2차년도 이후 매년의 계약일과 동일한 월, 일을 말하지만 경우에 따라서는 매월의 계약일과 동일한 날을 말하는 경우도 있음"
33,계약이전,"기업이 근로자대표의 동의를 얻어 현재 계약(운용관리, 자산관리)을 해지하고 다른 계약(다른 사업자로 이전 포함)으로 이전함"
34,계열회사,2개 이상의 회사가 동일한 기업집단에 속하는 경우 이들 회사는 서로 상대방의 계열회사가 됨 
35,계좌(account),예금 ·자산 등의 계정(計定)자리. 구좌라고도 함 
36,고령사회,전체인구중 65세이상 노인층 인구비율이 14%이상인 사회
37,공시규정,"연금운영에 대한 정보를 가입자, 사용자 또는 감독당국 등에 제공할 때 정보제공자가 준수해야 하는 규정"
38,공적연금제도,"중앙정부, 지방자치단체 및 기타 공적기구 등에 의해 관리되는 사회보장제도(유사 성격의 제도 포함) 전통적으로 부과방식의 사회보장제도가 대표적이나, 일부 OECD 회원국의 경우 부분적립 문제를 겪고 있거나 사적연금제도로 이를 대체"
39,공적연금펀드,공법의 규제를 받는 연금펀드
40,공정가치,합리적 정보를 가진 이해당사자(구매자와 판매자)가 외부의 강요없이 해당자산을 자유롭게 교환하고자 하는 가격
41,과거근무원가,"과거근무원가를 유발하는 퇴직 후 급여증가액이 가득 될 때까지의 평균기간(퇴직급여 권리취득 기간)으로 나누어 정액상각, (예)발생즉시 권리를 가질 경우에는 즉시인식. 5년 후 권리를 가질 경우에는 5년 정액상각 "
42,과거근무채무,퇴직연금 제도를 새로이 도입하여 시행하는 경우 적립금이 적립되지 않은 기존 직원의 과거 근무분에 대한 적립 부족금. 기업 입장에서는 부채로서 소정의 방법에 의해 상각하게 됨
43,과다적립,연금자산이 연금부채를 초과하여 연금재정에 잉여금이 발생한 상황
44,국민연금전환금,과거에 퇴직금의 일부를 국민연금으로 전환한 금액(1993년 ~ 1999년 3월까지 실행)
45,규정,"퇴직금 규정을 말하는 것으로 회사합병 또는 생산직,사무직의 급여 규정 또는 퇴직금 지급규정이 다른 경우 등을 나누어서 부담금 산출 시 나누어 산출하기 위해 구분 필요"
46,균등상각,과거근무채무를 일정기간을 정하여 해당기간 동안 균등하게 납입하는 방법
47,근로자대표,근로자 과반수로 조직된 노동조합이 있는 경우에는 그 노동조합을 말하고 그러한 노동조합이 없는 경우에는 근로자 과반수를 말함
48,근로제공기간,근로기간 중 급여수급권 획득에 기여하는 기간
49,근속년수,수급자격이 되는 근속년수
50,금전구입제도(Money purchase plan),미국 확정기여형 제도의 기본형으로 고용주 단독부담 또는 근로자와 공동부담하는 형식으로 급여의 일정비율을 납입하여 연금을 구입하는 제도. 연금의 구입은 거치연금으로 매년 구입하는 방식과 부담금 및 수익금을 퇴직시까지 적립하여 두었다가 퇴직시 일시에 구입하는 방식이 있음
51,금전신탁(Money trust),신탁업무를 취급하는 금융기관이 고객으로부터 금전을 맡아 일정기간 법규의 범위 내에서 운용한 후 원금과 수익을 수익자에게 지급하는 방식
52,급여,퇴직후 연금가입자에게 주어지는 지급금
53,급여비례,퇴직연금제도에 가입하게 되는 경우 연금계리방식에 의해 산출한 값 중 미래 1년 근무 분에 해당하는 부담금을 산출한 금액(Normal Cost) 
54,급여수급권자,급여를 수령할 자격이 있는 사람
55,급여이전,"퇴직연금 가입자는 전직/이직 등 퇴직하는 시점에서 퇴직금 수령방법(일시금, 연금)을 선택하게 되는데, 이 때 일시금의 수령을 원하지 않는 가입자가 퇴직급여액을 퇴직한 날부터 60일 이내에 확정기여형 퇴직연금 또는 개인퇴직계좌 등 별도의 다른 플랜으로 급여를 이전하는 것"
56,기대수익률,퇴직연금의 부담금으로 지출 된 사외적립자산에 대한 기대수익을 계산하기 위한 수익률로서 투자수익률을 의미 
57,기록관리,"퇴직연금 거래와 관련된 제반사항을 기록ㆍ보관ㆍ통지하는 것. 다수의 연금 가입자에 대한 기본 정보에서 이력관리, 퇴직급여, 적립금 운용현황 등 연금제도를 운영하기 위해 필요한 관리 시스템"
58,기말,재직자중 해당년도의 말일 근무하는 종업원수
59,기말연금자산,기말연금자산은 기시연금자산과 퇴직급여 지급액에 의해 발생 수식 = 기시연금자산 * (1+투자수익률)+ 1회 부담금 * [납입횟수 + (1+납입횟수) /2 *투자수익률] - 퇴직급여 지급액 * (1+투자수익률)^0.5
60,기산일,"퇴직금 지급에 있어서 퇴직한 날, 사고가 발생한 날 등 금액 산출을 위한 시작일 혹은 기초일"
61,기시,재직자중 해당년도의 시작일자에 근무하는 종업원의 수
62,기시연금자산,납입한 부담금을 운용하여 적립되어 있는 퇴직연금자산의 기초 액
63,기울기(a),"Y = ax + b라는 1차회귀식에서 a,b값을 구하여 연령별로 적용하는 방식"
64,기준급여,승급률을 산출하기 위해 사용되는 기준급여
65,기준이율,"직전 사업년도 말을 기준으로 한국증권업협회가 발표하는 10년 만기 국고채의 최근 36개월 평균 수익률과 3년만기 회사채(장외,AA-)의 최근 36개월 평균 수익률의 합계를 2로 나눈 값"
66,납입주기(연납/3월납/6월납/월납),퇴직연금 부담금(적립금)의 납입주기
67,누적급여부채(ABO),현재의 급여수준을 기준으로 연금산식에 따라 산출한 연금급여액의 현재가치로서 기준일 현재의 기 발생 연금급여액과 미래의 근로기간을 감안하여 추가적으로 계상한 미래 연금급여액의 누적금액 (Accumulated Benefit Obligation ->승급률 및 임금인상률을 미 감안한 현재급여를 가지고 산출)
68,단기금융시장 ,"단기자금의 수요자와 공급자간의 자금 수급불균형을 조절하기 위하여 통상 1년 미만의 단기 금융자산이 거래되는 시장을 말함. 이 시장은 기업의 시설 자금이나 장기운전자금 조달을 목적으로 발행 되는 주식, 채권 등을 거래하는 본시장에 대응하여 화폐시장이라고도 불림. 현재 우리나라에는 콜시장, 기업어음(CP)시장, 양도성예금증서(CD)시장, 환매조건부채권매매(RP)시장, 통화안정증권시장, 무역어음시장 등이 있음. "
69,단순형,누진제 중에 단순하게 년도 별 해당지급률에 곱하여 지급하는 방식
70,단위적립방식(UC),현재급여를 기준으로 개인별 장래 퇴직급여 예상액의 현재가치를 UNIT(근속년수/지급률)로 나누어 산출하는 방식.(ABO 산출 시 적용)
71,담보제공,"퇴직연금 설정 이후 무주택자의 주택구입, 가입자 또는 부양가족의 6개월 이상 요양, 그 밖에 천재지변의 발생 등 담보제공이 불가피하다고 노동부 장관이 인정하는 경우, 가입자가 대출을 받기 위해 가입자 본인의 퇴직급여적립금을 담보로 제공하는 것 "
72,당기 근무원가,기초의 근로자명부를 가지고 예측단위적립방식(PUC)에 의해 산출된 표준부담금(NC)으로 당기의 이자를 포함하는 방식을 취할 수도 있음
73,당기 손익으로 즉시인식,보험수리적 손익을 발생즉시 당기 손익으로 즉시 인식하는 방법
74,당기기여금,당기에 실제 납입한 부담금 납입금액
75,대기기간 [Waiting Period],사용자가 제공하는 연금기구에 가입하기 위해 유지되어야 하는 최소 고용기간 
76,대체율,일정기간의 개인(평균)소득과 (평균)연금급여 간의 비율
77,도달연령방식,확정급여형퇴직연금의 재정방식 중 하나로 평가시점부터 근로자 각각의 실제연령(도달연령)을 기준으로 잔여근무기간에 걸쳐 평준화된 부담금을 산정하는 방식
78,듀레이션 [Duration],"채권의 현가로 환산된 가중평균만기로서 현가 1원이 상환되는데 소요되는 평균기간을 의미하며, 수익률 변동에 대한 채권가격의 변동성을 나타내는 척도로 사용. "
79,랩어카운트 (wrap account),퇴직연금 설정 이후 증권회사에서 운용하는 상품 중에 종합 자산관리 방식의 상품 
80,목표 이행 이율,퇴직금제도를 퇴직연금제도로 이행시 해당 비율
81,목표급여제도(Target benefit plans),"미국 등의 국가에서 사용되는 확정급여형(DB)제도와 금전구입제도의 중간형태의 제도. 부담금을 목표소득대체율을 기초로 한 예상 퇴직급여에 의해 산출한다는 점은 확정급여형(DB)제도와 비슷하나, 실제 퇴직시점의 급여는 투자결과에 따라 변동한다는 점이 다름. 부담금 납입이 강제라는 점에서는 금전구입제도와 유사함"
82,뮤추얼펀드 (mutual fund),"유가증권 투자를 목적으로 한 회사의 주식을 투자가가 갖는 형태, 즉 회사형(會社型)을 택하여, 투자가는 수익자인 동시에 주주가 됨"
83,미적립 확정급여채무 현재가치,확정급여형으로 적립 된 이외의 금액으로 내부 보유분 또는 이외 방식에 적립된 금액
84,미적립연금제도,현재의 사용자나 가입자로부터 연금지급을 위한 부담금을 직접 조달하는 연금제도로서 부과방식으로 불리기도 함. 시재금 등의 운영비용이나 일정 부담금의 이연으로 인해 관련자산의 보유가 가능
85,민감도분석,부담금산출이율을 기준으로 ±하여 이율에 얼마나 민감하게 부담금율이 변하는지 확인 하는 분석처리 
86,반환부담금,"연금자산이 적립금의 150%를 초과하여 적립된 경우 가입한 기업에게 반환하는 부담금.-> 산출금액 = 연금자산 - MAX(계속기준적립금,비계속기준적립금) × 150%"
87,발생급여,근로제공기간에 근거하여 가입자가 받게 되는 누적연금급여액
88,발생급여부채,현재의 급여수준을 기준으로 연금산식에 따라 산출한 연금급여액의 현재가치로서 기준일 현재의 기발생 연금급여액만을 반영
